SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021,FQ12021
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2021,9/30/2020,3/31/2021,3/31/2021,9/30/2020,3/31/2021,,4/3/2021,3/31/2021,3/31/2021,5/2/2020,12/31/2020,3/31/2021,9/30/2020,3/31/2021,8/30/2020,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,3/31/2021,3/31/2021,3/31/2021,,3/27/2021,3/31/2021,9/30/2020,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,9/30/2020,3/31/2021,7/31/2020,,3/31/2021,3/31/2021,5/31/2020,6/30/2020,9/30/2020,3/31/2021,4/3/2021,4/2/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,,6/30/2020,3/28/2021,9/30/2020,,9/30/2020,,3/31/2021,1/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,5/23/2020,,5/2/2020,3/31/2021,3/31/2021,5/1/2020,3/31/2021,7/31/2020,5/2/2020,3/31/2021,3/31/2021,3/31/2021,3/31/2021,6/30/2020,3/31/2021,3/31/2021,,3/31/2021,6/30/2020,3/31/2021,,4/3/2021,7/31/2020,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,3/31/2021,9/30/2020,3/31/2021,3/31/2021,11/30/2020,9/30/2020,3/31/2021,3/31/2021,3/31/2021,,8/31/2020,3/31/2021,3/31/2021,3/31/2021,3/28/2021,3/31/2021,3/31/2021,9/27/2020,3/31/2021,3/31/2021,9/30/2020,3/31/2021,3/31/2021,3/31/2021,12/31/2020,5/1/2020,3/31/2021,9/30/2020,3/31/2021,9/26/2020,3/31/2021,,1/29/2021,3/31/2021,3/31/2021,6/30/2020,3/31/2021,3/31/2021,
Financial Filing Date,309159,5/6/2022,3/7/2022,4/28/2022,8/4/2022,2/22/2022,5/12/2022,,5/5/2022,4/27/2022,5/13/2022,6/3/2021,2/3/2022,8/12/2022,2/17/2022,4/28/2022,10/7/2021,4/28/2022,4/21/2022,5/27/2022,5/6/2022,5/31/2022,,4/27/2022,8/2/2022,4/28/2022,,5/4/2022,5/6/2021,2/24/2022,4/21/2022,5/5/2022,5/12/2022,9/27/2022,4/21/2022,5/12/2022,5/9/2022,4/21/2022,7/11/2022,4/28/2022,7/14/2022,2/24/2022,5/5/2022,9/14/2021,,5/9/2022,5/13/2022,11/5/2021,7/28/2021,2/23/2022,4/28/2022,5/12/2022,4/28/2022,9/13/2022,4/29/2022,8/12/2022,4/22/2022,8/25/2022,,9/10/2020,4/27/2022,3/13/2022,,2/24/2022,,5/3/2022,3/7/2022,5/27/2022,5/13/2022,4/28/2022,7/22/2022,6/25/2021,,6/3/2021,5/3/2022,5/4/2022,5/27/2021,5/2/2022,9/28/2021,6/7/2021,5/12/2022,5/13/2022,5/2/2022,5/10/2022,8/5/2021,8/10/2022,4/26/2022,,5/18/2022,8/20/2021,4/28/2022,,5/12/2022,12/8/2021,8/19/2022,5/5/2022,4/28/2022,4/27/2022,7/6/2022,7/29/2022,2/16/2022,5/13/2022,4/29/2022,5/5/2022,2/15/2022,4/27/2022,5/27/2022,5/4/2022,,9/13/2021,5/31/2022,5/10/2022,5/10/2022,5/5/2022,7/26/2022,4/22/2022,2/28/2022,5/5/2022,5/13/2022,2/25/2021,4/26/2022,5/16/2022,4/26/2022,1/27/2022,6/4/2021,5/30/2022,2/25/2022,5/10/2022,11/9/2021,4/26/2022,,3/3/2022,4/19/2022,7/28/2022,8/9/2021,4/27/2022,5/2/2022,
Spot Exchange Rate,275660,1.000000,0.716846,1.000000,1.000000,0.716846,0.253094,NA,1.000000,1.000000,0.032008,1.000000,1.000000,0.743561,0.716846,0.253094,1.000000,0.114657,0.000043,0.794995,1.000000,0.000069,NA,1.000000,1.000000,1.000000,NA,1.000000,1.173709,0.716846,1.000000,1.000000,0.032008,1.173709,1.000000,1.173709,1.000000,1.000000,0.794995,1.000000,1.173709,0.716846,1.000000,0.746648,NA,1.000000,0.253094,0.056668,1.000000,0.716846,1.000000,1.000000,1.000000,1.000000,1.000000,0.761093,1.000000,1.173709,NA,0.013238,1.000000,0.716846,NA,1.293159,NA,1.000000,1.000000,0.794995,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.746648,1.000000,0.032008,0.238521,1.000000,0.253094,1.000000,0.698959,1.000000,NA,0.794995,0.233247,1.000000,NA,1.000000,1.313871,0.761093,1.000000,1.000000,1.000000,1.410835,0.000043,0.716846,1.173709,1.000000,0.064654,0.716846,1.000000,0.794995,1.000000,NA,1.000000,1.173709,1.000000,1.000000,1.000000,1.000000,0.000043,0.058228,1.000000,0.032008,0.716846,1.000000,1.000000,1.000000,0.164342,1.000000,0.794995,0.716846,1.000000,1.000000,1.000000,NA,1.000000,0.000043,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.715128,1.000000,1.000000,0.715128,0.265160,NA,1.000000,1.000000,0.033011,1.000000,1.000000,0.750560,0.715128,0.265160,1.000000,0.119099,0.000043,0.789768,1.000000,0.000071,NA,1.000000,1.000000,1.000000,NA,1.000000,1.204902,0.715128,1.000000,1.000000,0.033011,1.204902,1.000000,1.204902,1.000000,1.000000,0.789768,1.000000,1.204902,0.715128,1.000000,0.731764,NA,1.000000,0.265160,0.056383,1.000000,0.715128,1.000000,1.000000,1.000000,1.000000,1.000000,0.772708,1.000000,1.204902,NA,0.013182,1.000000,0.715128,NA,1.292031,NA,1.000000,1.000000,0.789768,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.731764,1.000000,0.033011,0.246973,1.000000,0.265160,1.000000,0.718632,1.000000,NA,0.789768,0.231464,1.000000,NA,1.000000,1.250891,0.772708,1.000000,1.000000,1.000000,1.410824,0.000043,0.715128,1.204902,1.000000,0.061621,0.715128,1.000000,0.789768,1.000000,NA,1.000000,1.204902,1.000000,1.000000,1.000000,1.000000,0.000043,0.059177,1.000000,0.033011,0.715128,1.000000,1.000000,1.000000,0.160279,1.000000,0.789768,0.715128,1.000000,1.000000,1.000000,NA,1.000000,0.000043,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"6,000",103,"10,566,000","538,000","578,353",5,NA,"227,701","21,833,000","48,675","957,000","3,265,000","41,567",570,"591,122","438,200","13,472","2,166","3,565","53,724","58,777",NA,"147,700","1,037,000","29,748",NA,"466,436","130,123","33,306","2,957,000","477,000","1,456",0,"536,512","195,487","539,000","765,900","87,960","40,670","454,225","69,677","355,000","76,184",NA,"1,908,000",127,"3,260","199,441","11,227","31,290,000","246,694","1,299,600","1,007,000","2,868,000",NA,"2,446,000","1,812,324",NA,"41,887","1,358,300","14,323",NA,"508,470",NA,"1,138,000","4,163,000","3,821","24,000","335,000","1,503,000","2,726,000",NA,"2,039,000","48,157","1,678,000","6,156,000","14,348,000",355,"1,523,000","248,804","26,845","3,025,400",87,"2,613,000","157,857","5,142,000",NA,"8,326",NA,"5,792,000",NA,"1,320,000","18,409",859,"512,407","3,517,000","998,000","2,798","6,548","107,505","492,388","682,000","12,096","59,130","605,000","7,639","402,654",NA,"42,303,000","46,208","2,270,000","30,000","6,171","432,400","2,257","65,653","5,091,612","101,515","5,069",449,"82,281","8,579,000","34,025","276,000",399,106,"92,345","5,989,545","571,000",NA,"433,394",950,"2,254,000","232,418","10,205,000","1,126,000",NA
