SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2023,9/30/2022,3/31/2023,3/31/2023,9/30/2022,3/31/2023,,4/1/2023,3/31/2023,3/31/2023,4/30/2022,12/31/2022,3/31/2023,9/30/2022,3/31/2023,8/28/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,,4/1/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,7/31/2022,,3/31/2023,3/31/2023,5/31/2022,6/30/2022,9/30/2022,3/31/2023,4/1/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,6/30/2022,4/2/2023,9/30/2022,,9/30/2022,,3/31/2023,1/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,5/21/2022,,4/30/2022,3/31/2023,3/31/2023,4/29/2022,3/31/2023,7/31/2022,4/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,2/28/2023,4/1/2023,7/31/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,11/30/2022,9/30/2022,3/31/2023,3/31/2023,3/31/2023,,8/31/2022,3/31/2023,3/31/2023,3/31/2023,4/2/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,12/31/2022,3/31/2023,3/31/2023,3/31/2023,12/31/2022,4/29/2022,3/31/2023,9/30/2022,3/31/2023,10/1/2022,3/31/2023,,2/3/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,
Financial Filing Date,309159,5/6/2024,3/18/2024,5/3/2024,8/2/2024,2/21/2024,5/13/2024,,5/2/2024,4/24/2024,5/13/2024,6/2/2023,2/1/2024,8/5/2024,2/20/2024,5/8/2024,10/5/2023,4/24/2024,4/19/2023,5/30/2024,5/9/2024,4/26/2024,,4/24/2024,4/30/2024,4/25/2024,,5/9/2024,5/12/2023,2/22/2024,8/5/2024,5/2/2024,5/9/2024,9/23/2024,4/25/2024,5/14/2024,5/7/2024,4/22/2024,5/7/2024,4/24/2024,7/18/2024,2/21/2024,5/9/2024,9/12/2023,,5/2/2024,5/15/2024,11/6/2023,7/27/2023,2/21/2024,4/25/2024,5/9/2024,4/24/2024,4/30/2024,5/2/2024,8/30/2024,4/24/2024,8/29/2023,,8/12/2022,5/1/2024,3/14/2024,,2/22/2024,,5/2/2024,2/28/2024,5/29/2024,8/8/2023,4/25/2024,4/19/2024,6/23/2023,,6/1/2023,4/30/2024,8/8/2024,6/1/2023,4/26/2024,9/28/2023,6/6/2023,5/14/2024,5/10/2024,5/8/2024,5/15/2024,8/2/2023,9/16/2024,7/26/2024,10/15/2024,5/16/2024,8/30/2023,4/25/2024,6/4/2024,5/2/2024,12/12/2023,8/21/2024,5/2/2024,4/25/2024,4/24/2024,6/13/2024,7/24/2024,2/21/2024,5/13/2024,4/26/2024,4/11/2024,2/19/2024,4/24/2024,5/28/2024,5/1/2024,,9/12/2023,5/31/2023,5/7/2024,5/10/2024,5/9/2024,4/23/2024,4/20/2023,3/4/2024,4/25/2024,5/10/2024,5/28/2024,4/23/2024,5/15/2024,4/23/2024,1/25/2024,6/5/2023,5/27/2024,2/29/2024,5/8/2024,11/1/2023,4/26/2024,,3/7/2024,7/24/2023,4/25/2024,8/9/2023,4/25/2024,5/6/2024,
Spot Exchange Rate,275660,1.000000,0.644247,1.000000,1.000000,0.644247,0.232196,NA,1.000000,1.000000,0.029357,1.000000,1.000000,0.752021,0.644247,0.232196,1.000000,0.096568,0.000043,0.739093,1.000000,0.000067,NA,1.000000,1.000000,1.000000,NA,1.000000,1.086484,0.644247,1.000000,1.000000,0.029357,1.086484,1.000000,1.086484,1.000000,1.000000,1.000000,1.000000,1.086484,0.644247,1.000000,0.780238,NA,1.000000,0.232196,0.064017,1.000000,0.644247,1.000000,1.000000,1.000000,1.000000,1.000000,0.670556,1.000000,1.086484,NA,0.012655,1.000000,0.644247,NA,1.114293,NA,1.000000,1.000000,0.739093,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.780238,1.000000,0.029357,0.219578,1.000000,0.232196,1.000000,0.626370,1.000000,0.029357,0.739093,0.226963,1.000000,0.734986,1.000000,1.216737,0.670556,1.000000,1.000000,1.000000,1.409046,0.000043,0.644247,1.086484,1.000000,0.058939,0.644247,1.000000,0.739093,1.000000,NA,1.000000,1.086484,1.000000,1.000000,1.000000,1.000000,0.000043,0.055504,1.000000,0.029357,0.679671,1.000000,1.000000,1.000000,0.143678,1.000000,0.739093,0.644247,1.000000,1.000000,1.000000,NA,1.000000,0.000043,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.683194,1.000000,1.000000,0.683194,0.227851,NA,1.000000,1.000000,0.029476,1.000000,1.000000,0.750276,0.683194,0.227851,1.000000,0.095790,0.000042,0.739372,1.000000,0.000066,NA,1.000000,1.000000,1.000000,NA,1.000000,1.072944,0.683194,1.000000,1.000000,0.029476,1.072944,1.000000,1.072944,1.000000,1.000000,1.000000,1.000000,1.072944,0.683194,1.000000,0.777302,NA,1.000000,0.227851,0.065444,1.000000,0.683194,1.000000,1.000000,1.000000,1.000000,1.000000,0.683553,1.000000,1.072944,NA,0.012952,1.000000,0.683194,NA,1.176689,NA,1.000000,1.000000,0.739372,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.777302,1.000000,0.029476,0.218108,1.000000,0.227851,1.000000,0.629559,1.000000,0.029476,0.739372,0.229876,1.000000,0.741225,1.000000,1.225432,0.683553,1.000000,1.000000,1.000000,1.408834,0.000042,0.683194,1.072944,1.000000,0.056496,0.683194,1.000000,0.739372,1.000000,NA,1.000000,1.072944,1.000000,1.000000,1.000000,1.000000,0.000042,0.058719,1.000000,0.029476,0.657581,1.000000,1.000000,1.000000,0.137384,1.000000,0.739372,0.683194,1.000000,1.000000,1.000000,NA,1.000000,0.000042,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"10,000","3,996","31,561,000","154,000","434,706",10,NA,"205,554","14,743,000","226,318","651,000","612,000","49,968","4,389","786,131","67,400","12,947","2,450",827,"18,838","26,687",NA,"173,900","675,000","17,146",NA,"201,587","126,454","10,590","1,469,000","1,898,000","2,407","9,732","272,426","137,272","544,000","232,500","193,970","2,127,262","538,896","70,241","330,000","28,603",NA,"522,000",341,"5,749","68,281","9,288","28,623,000","127,111","672,800","2,324,000","1,146,000","9,060","1,879,000","5,303,129",NA,"1,815,666","372,800","108,951",NA,"213,276",NA,"938,000","1,769,000","2,471","1,871,000","204,000","424,000","1,382,000",NA,"646,000","42,966","2,951,000","4,043,000","11,674,000",989,"672,000","236,428","25,977","3,708,100",116,"2,233,000","103,000","3,969,000",759,"5,067",450,"3,913,000","3,657","1,022,000","28,427",695,"141,560","2,495,000","552,000",211,"8,893","91,539","319,720","271,000","31,579","63,958","757,000","3,539","681,000",NA,"11,220,000","99,092","1,165,000","597,000","30,783","324,300",537,"41,875","1,226,871","529,195","1,684","227,633","164,655","5,893,000","13,142","56,000","4,589",11,"82,085","437,670","796,000",NA,"174,037","1,429","5,521,000","221,520","2,351,000","477,000",NA
