,,,,,,,,,,,
DS,,,,,,,,,,,
List Data exported on 05/27/2026 4:25:23 PM ET  ,,,,,,,,,,,
Ticker ,Entity Name ,Last Time ,MI KEY ,,,,,,,,
AEE,Ameren Corporation (NYSE:AEE),4:00:03 PM ET  ,4007308,,,,,,,,
AEE,Aura Energy Limited (ASX:AEE),2:10:22 AM ET  ,4348291,,,,,,,,
AMGN,Amgen Inc. (NASDAQGS:AMGN),4:00:00 PM ET  ,4092820,,,,,,,,
APA,APA Corporation (NASDAQGS:APA),4:00:00 PM ET  ,4010203,,,,,,,,
APA,APA Group (ASX:APA),2:10:21 AM ET  ,4306680,,,,,,,,
APA,Apanet S.A. (WSE:APA),4:03:31 AM ET  ,4972886,,,,,,,,
APA,Asia Pacific Trust (NZSE:APA),12:59:55 AM ET  ,5737378,,,,,,,,
ARW,"Arrow Electronics, Inc. (NYSE:ARW)",4:00:03 PM ET  ,4066994,,,,,,,,
BA,The Boeing Company (NYSE:BA),4:00:02 PM ET  ,4004086,,,,,,,,
BA,Bangkok Airways Public Company Limited (SET:BA),5:35:32 AM ET  ,4994491,,,,,,,,
BBWI,"Bath & Body Works, Inc. (NYSE:BBWI)",4:00:02 PM ET  ,4069317,,,,,,,,
BDX,"Becton, Dickinson and Company (NYSE:BDX)",4:00:03 PM ET  ,4133271,,,,,,,,
BDX,GSH Corporation Limited (SGX:BDX),10:15:08 PM ET  ,4338167,,,,,,,,
BDX,BCAL Diagnostics Limited (ASX:BDX),11:26:41 PM ET  ,4714599,,,,,,,,
BDX,Budimex SA (WSE:BDX),11:02:18 AM ET  ,4989802,,,,,,,,
CAG,"Conagra Brands, Inc. (NYSE:CAG)",4:00:33 PM ET  ,4101861,,,,,,,,
CAG,CAG Group AB (publ) (OM:CAG),11:29:44 AM ET  ,5144759,,,,,,,,
CAG,An Giang Port Joint-Stock Company (HNX:CAG),3:27:28 AM ET  ,6863895,,,,,,,,
CAG,Composite Alliance Group Inc. (TSXV:CAG),9:47:34 AM ET  ,7192475,,,,,,,,
CARS,Cars.com Inc. (NYSE:CARS),4:00:02 PM ET  ,4206401,,,,,,,,
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk (IDX:CARS),5:12:04 AM ET  ,5992950,,,,,,,,
CARS,Evolve Automobile Innovation Index Fund (TSX:CARS),3:30:45 PM ET  ,6950796,,,,,,,,
CHDN,Churchill Downs Incorporated (NASDAQGS:CHDN),4:00:00 PM ET  ,4150067,,,,,,,,
CNP,"CenterPoint Energy, Inc. (NYSE:CNP)",4:00:02 PM ET  ,4074390,,,,,,,,
CNX,CNX Resources Corporation (NYSE:CNX),4:00:02 PM ET  ,4072680,,,,,,,,
CQH,"[Inactive] Cheniere Energy Partners LP Holdings, LLC",,4412084,,,,,,,,
CRL,"Charles River Laboratories International, Inc. (NYSE:CRL)",4:00:02 PM ET  ,4388431,,,,,,,,
CRL,Carel Industries S.p.A. (BIT:CRL),11:35:25 AM ET  ,8581385,,,,,,,,
CSX,CleanSpace Holdings Limited (ASX:CSX),2:10:22 AM ET  ,25869381,,,,,,,,
CSX,CSX Corporation (NASDAQGS:CSX),4:00:00 PM ET  ,4004350,,,,,,,,
D,"Dominion Energy, Inc. (NYSE:D)",4:00:03 PM ET  ,4001616,,,,,,,,
D,Dental Corporation Public Company Limited (SET:D),4:29:38 AM ET  ,5330448,,,,,,,,
D,Directa Sim S.p.A. (BIT:D),11:29:59 AM ET  ,7682850,,,,,,,,
DOV,Dover Corporation (NYSE:DOV),4:00:02 PM ET  ,4068060,,,,,,,,
DOV,doValue S.p.A. (BIT:DOV),1:44:10 PM ET  ,4896737,,,,,,,,
DUK,Duke Energy Corporation (NYSE:DUK),4:00:02 PM ET  ,4121470,,,,,,,,
EFX,Equifax Inc. (NYSE:EFX),4:00:02 PM ET  ,4040823,,,,,,,,
EFX,Enerflex Ltd. (TSX:EFX),4:00:00 PM ET  ,4977218,,,,,,,,
EQT,EQT Corporation (NYSE:EQT),4:02:13 PM ET  ,4004341,,,,,,,,
EQT,EQT AB (publ) (OM:EQT),11:29:42 AM ET  ,4619073,,,,,,,,
EQT,EQT Holdings Limited (ASX:EQT),2:10:20 AM ET  ,4773271,,,,,,,,
ET,Energy Transfer LP (NYSE:ET),4:00:03 PM ET  ,4111501,,,,,,,,
ET,Evertz Technologies Limited (TSX:ET),4:00:00 PM ET  ,4968132,,,,,,,,
ET,Energy Time S.P.A. (BIT:ET),10:50:36 AM ET  ,5155441,,,,,,,,
EXC,Exelon Corporation (NASDAQGS:EXC),4:00:00 PM ET  ,4057056,,,,,,,,
EXC,Excellence S.A. (WSE:EXC),11:00:43 AM ET  ,4914509,,,,,,,,
EXP,Exemplar REITail Limited (JSE:EXP),4:47:35 AM ET  ,10721065,,,,,,,,
EXP,Eagle Materials Inc. (NYSE:EXP),4:00:03 PM ET  ,4144672,,,,,,,,
EXP,Experience Co Limited (ASX:EXP),2:10:21 AM ET  ,4981251,,,,,,,,
F,Ford Motor Company (NYSE:F),4:00:36 PM ET  ,113873,,,,,,,,
FOSL,"Fossil Group, Inc. (NASDAQGS:FOSL)",4:00:00 PM ET  ,4275565,,,,,,,,
FTV,Fortive Corporation (NYSE:FTV),4:00:02 PM ET  ,4992262,,,,,,,,
GEHC,GE HealthCare Technologies Inc. (NASDAQGS:GEHC),4:00:00 PM ET  ,108009705,,,,,,,,
GLW,Corning Incorporated (NYSE:GLW),4:00:26 PM ET  ,4004201,,,,,,,,
HAL,Halo Technologies Holdings Limited (ASX:HAL),9:07:32 PM ET  ,19230515,,,,,,,,
HAL,Halliburton Company (NYSE:HAL),4:00:02 PM ET  ,4010641,,,,,,,,
HAL,HAL Trust (ENXTAM:HAL),11:35:17 AM ET  ,4773655,,,,,,,,
HAL,Global X Active Canadian Dividend ETF (TSX:HAL),3:55:58 PM ET  ,5730751,,,,,,,,
HAL,Hindustan Aeronautics Limited (NSEI:HAL),6:00:01 AM ET  ,6623431,,,,,,,,
HAS,"Hasbro, Inc. (NASDAQGS:HAS)",4:00:00 PM ET  ,4095387,,,,,,,,
HAS,Hastings Technology Metals Limited (ASX:HAS),12:30:45 AM ET  ,4350960,,,,,,,,
HAS,HACISCO Joint Stock Company (HOSE:HAS),2:32:09 AM ET  ,4990439,,,,,,,,
HAS,Hays plc (LSE:HAS),11:35:42 AM ET  ,4996606,,,,,,,,
HCA,Hamilton Canadian Bank Mean Reversion Index ETF (TSX:HCA),2:53:08 PM ET  ,20085583,,,,,,,,
HCA,"HCA Healthcare, Inc. (NYSE:HCA)",4:00:02 PM ET  ,4283738,,,,,,,,
HPQ,HP Inc. (NYSE:HPQ),4:00:02 PM ET  ,105223,,,,,,,,
HPQ,HPQ Silicon Inc. (TSXV:HPQ),2:40:35 PM ET  ,4355113,,,,,,,,
KD,"Kyndryl Holdings, Inc. (NYSE:KD)",4:00:02 PM ET  ,29724772,,,,,,,,
KDP,Keurig Dr Pepper Inc. (NASDAQGS:KDP),4:00:00 PM ET  ,4547508,,,,,,,,
