feature,importance_gain
ebitda__to__interest_expense_delta_2yr,836.4484954476357
EBIT / Interest Expense (x),254.47684352099895
ebitda__to__interest_expense_delta_1yr,162.37159931100905
total_debt__to__ebitda_delta_2yr,153.56700134277344
fcf_to_debt,136.5202508419752
cash_to_debt,89.12107646465302
Total Debt / EBITDA (x),51.138513304293156
vol_2yr_ebitda_margin,34.316200256347656
ebitda_margin_delta_1yr,33.696525156497955
log_assets,24.063458114862442
cfo_to_debt,13.15004587173462
EBITDA / Interest Expense (x),8.792659878730774
rating_numeric,6.175721108913422
total_debt__to__ebitda_delta_1yr,0.8243740200996399
net_debt_to_ebitda,0.0
Current Ratio (x),0.0
distance_to_max_leverage,0.0
